,name,country,event,date_of_violation,substance,sanction,references,flagged
11953,Svetlana Cherkasova, Russia,Middle distance,2007,Fraudulent substitution of urine,33 months,[13][37][238][239][240],1
11954,Lada Chernova, Russia,Javelin throw,2008 2013,Metenolone  Bromantane,2 years  Life ban,[37][219][241][242][243][244],1
11955,Tatyana Chernova, Russia,Heptathlon,2009,Oral Turinabol,2 years,[245][246],1
11956,Lydia Cheromei, Kenya,Long distance,2005,Clomiphene,2 years,[247],1
11957,Damu Cherry, United States,Hurdling,2003,Norandrosterone,2 years,[182][248],1
11958,Silvano Chesani, Italy,High jump,2007,Formoterol,Public warning,[3][249],1
11959,Christophe Cheval, France,Sprinting,2001,Nandrolone,2 years,[13][250],1
11960,Dimitrios Chondrokoukis, Greece,High jump,2012,Stanozolol,2 years,[251][252][253],1
11961,Fouad Chouki, France,Middle distance,2003,EPO,2 years,[13][182][254],1
11962,Khalid Choukoud, Netherlands,Long distance,2007,Stanozolol,2 years,[3][255][256],1
11963,Linford Christie, Great Britain,Sprinting,1999,Nandrolone,2 years,[257],1
11964,Vivian Chukwuemeka, Nigeria,Shot put and discus,2009  2012,Oxymetholone  Stanozolol,2 years  Life ban,[92][119][258],1
11965,Clement Chukwu, Nigeria,Sprinting,1992,,4 years,[259][260],1
11966,Yelena Churakova, Russia,Hurdling,2013,Methandienone & Dehydrochloromethyltestosterone,2 years,[119][173][261],1
11967,Hazel Clark, United States,Middle distance,2001,Pseudoephedrine,Public warning,[262],1
11968,Venolyn Clarke, Canada,Sprinting,2001,Stanozolol,4 years,[13][263][264],1
11969,Ramon Clay, United States,Sprinting,2000–2004,Steroids and hormones (BALCO scandal),2 years,[13][32][265][266],1
11970,Luis Collazo, Puerto Rico,Long distance,2011,Exogenous steroids,2 years,[79][110],1
11971,Michelle Collins, United States,Sprinting,2002–2004,"THG, EPO (BALCO scandal)",4 years (Reduced from 8 years),[45][267][268],1
11972,Rosa Colorado, Spain,Hurdling,1980,Steroids,18 months,[1][2][13][269][270],1
11973,Hannah Cooper, Liberia,Sprinting,1999,,,[13],1
11974,Harold Connolly, United States,Hammer throw,1960's,Self-admitted; Anabolic steroids,–,[271][272],1
11975,Jessica Cosby, United States,Hammer throw,2009,"Hydrochlorothiazide, chlorothiazide",4 months,[32][273][274],1
11976,Nuno da Costa, Portugal,Cross country running,2011,EPO,2 years,[10][79][275],1
11977,Daniela Costian, Romania,Discus throw,1986,,,.[1][276],1
11978,Julie Coulaud, France,Middle/Long distance,2008,Testosterone,3 years,[3][36][277],1
11979,Crystal Cox, United States,Sprinting,2002  2001–2004,Ephedrine (positive test) Anabolic steroids (self admitted),Public warning  4-year ban,[216][262][32][45][278][279],1
11980,Shawn Crawford, United States,Sprinting,2012,3 whereabouts failures,2 years,[30][173][280][281],1
11981,Olga Cristea, Moldova,Middle-distance,2010,Testosterone,2 years,[32][190][282],1
11982,Peter Dajia, Canada,Shot put,1983– 1986,"Self admittance in 1989: Steroids Positive test: Steroids, Testosterone",18 months,[2][283][284],1
11983,Martina Danišová-Hrasnová, Slovakia,Hammer throw,2003,Nandrolone,2 years,[285][286],1
11984,Bonnie Dasse, United States,Shot put,1992,Clenbuterol,4 years,[287],1
11985,Marie Davenport  (Marie McMahon), Ireland,Long distance,1996,Phenylpropanolamine,Reprimand,[288][289][290],1
11986,Walter Davis, United States,Triple jump,2013,3 whereabouts failures,1 year,[30][35],1
11987,Alice Decaux, France,Hurdling,2013,β-Methylphenethylamine,6 months,[76][291][292],1
11988,Mary Decker (Mary Slaney), United States,Middle distance,1996,Testosterone,,[45][293],1
11989,Tony Dees, United States,Hurdling,2001,"Norandrosterone, Noretiochdandone",Life ban,[262],1
11990,Hind Dehiba, France,Middle distance,2007,EPO,2 years,[294],1
11991,Tatyana Dektyareva, Russia,Hurdling,2014,Ostarine,2 years,[101][295][296],1
11992,Dimitrios Delifotis, Greece,Long jump,1984,,,[1][2],1
11993,Luis Delís, Cuba,Discus throw/shot put,1990,,,[297],1
11994,Tezeta Dengersa, Turkey,Middle/Long distance,2005,Metenolone,2 years,[66],1
11995,Frédéric Denis, France,Steeplechase,2007,EPO,2 years,[79],1
11996,Sébastien Denis, France,Hurdling,2005,Ephedrine,Public warning,[66],1
11997,Lyubov Denisova, Russia,Marathon,2007,"Prostanozol, testosterone",2 years,[298],1
11998,Manuela Derr, Germany,Sprinting,1992,Clenbuterol,3 years,[299],1
11999,Ronald Desruelles, Belgium,Long jump,1980,,,[1][300],1
12000,Hrysopiyi Devetzi, Greece,Triple/Long jump,2009  2007 (Retest 2015),Failure to submit to doping controlStanozolol,2 years 4 years,[10][79][301][94][95],1
12001,Vadim Devyatovskiy, Belarus,Hammer throw,2000,Nandrolone,2 years,[102][302],1
12002,Aïssa Dghoughi, Morocco,Long distance,2006,Refusal to submit to doping control,3 years,[19][303][304],1
12003,Ahmed Mohamed Dheeb, Qatar,Discus throw,2010,Testosterone metabolites,,[10][305],1
12004,Alberico Di Cecco, Italy,Marathon,2008,EPO,2 years,[36][37][306],1
12005,Rostislav Dimitrov, Bulgaria,Triple jump,1999,Ephedrine,,[45][307],1
12006,Svetla Dimitrova, Bulgaria,Heptathlon,1989,Sydnocarb,2 years,[308],1
12007,Katalin Divós, Hungary,Hammer throw,2001,,2 years,[309],1
12008,Vukosava Đjapić, Serbia and Montenegro,Sprinting,2005,Metenolone,2 years,[19][310],1
12009,Abderahmane Djemadi, Algeria,Long distance,2001,Refusal to submit to doping control,2 years,[311],1
12010,Gábor Dobos, Hungary,Sprinting,2000  2006," Drostanolone, testosterone",2 years  Life ban,[312][313],1
12011,Jim Doehring, United States,Shot put,1990,Steroids,2 years,[314],1
12012,Bahar Doğan, Turkey,Long distance,2011,Biological passport,2 years and 6 months,[159][315],1
12013,Bishop Dolegiewicz, Canada,"Shot put, discus throw",1973–1985,Self admittance (The Dubin Inquiry): Steroids,National record annulled,[316][317][318],1
12014,Marta Dominguez, Spain,Middle distance,2009,Biological passport,3 years,[159][319],1
12015,Tetyana Dorovskikh (Tatyana Samolenko), Ukraine,Middle distance,1993,Unknown substance,,[320],1
12016,Rashid Shafi Al-Dosari, Qatar,Discus throw,2003,Refused to submit to doping control,2 years,[321][322],1
12017,Troy Douglas, Netherlands,Sprinting,1999,Nandrolone,2 years,[323][324],1
12018,Horace Dove-Edwin, Sierra Leone,Sprinting,1994,Stanozolol,2 years,[325],1
12019,Hanna Drabenia, Belarus,Race walking,2015,Trimetazidine,2 years,[17][109],1
12020,Rasa Drazdauskaitė, Lithuania,Long distance,2003,Stanozolol,2 years,[321][326],1
12021,Heike Drechsler, East Germany,Long jump/sprinting,1980's,Self admittance,—,[327],1
12022,Hamza Driouch, Qatar,Middle distance,2012,Biological passport anomalies,2 years,[328][329],1
12023,Jon Drummond, United States,Coach,2012/2013,"Possession, trafficking and administration of prohibited substances",8 years,[330][331],1
12024,Oleksandr Dryhol, Ukraine,Hammer throw,2013,Dehydrochloromethyltestosterone,2 years,[34][76],1
12025,Aliona Dubitskaya, Belarus,Shot put,2014,Oxilofrine,6 months,[167][332],1
12026,Aleksandra Duliba, Belarus,Marathon,2013,Biological passport,2 years,[55][56],1
12027,Corina Dumbrăvean, Romania,Middle distance,20072010,Refusal to submit to testing,2 years  Life ban,[333][334],1
12028,Julien Dunkley, Jamaica,Sprinting,2008,Boldenone,2 years,[3][36][335],1
12029,Debbie Dunn, United States,Sprinting,2012,Testosterone,2 years,[219][336],1
12030,Lyudmila Dzhigalova, Ukraine,Sprinting,1993,Steroids,4 years,[337],1
12031,Monzavous Edwards, United States,Sprinting,2004,Cannabis,Public warning,[338],1
12032,Mark Edwards, Great Britain,,,"Clostebol, Testosterone",,[79],1
12033,Paul Edwards, Great Britain,Shot put,19931997,"Anabolic steroids, raised testosterone and pseudoephedrineTetrahydrocannabinol",4 yearsLife ban,[339][340],1
12034,Torri Edwards, United States,Sprinting,2004,Nikethamide,15 months (Reduced from 2 years),[341][342][343],1
12035,Daniel Effiong, Nigeria,Sprinting,1995,Methyltestosterone and ephedrine,4 years,[344][345],1
12036,Inna Eftimova, Bulgaria,Sprinting,2011 {Retested 2012),Recombinant Human Growth hormone,2 years,[13][30][153][346],1
12037,Florence Ekpo-Umoh, Germany,Sprinting,2003,Stanozolol,2 years,[230][321][347],1
12038,Christy Ekpukhon, Nigeria,Sprinting,2008,Metenolone,2 years,[3][36][45][348],1
12039,Abderrahim El Asri, Morocco,Cross country running,2014,EPO,2 years,[34][175],1
12040,Wafa Ismail El Baghdadi, Egypt,Shot put,2007,Methandienone,2 years,[36][349],1
12041,Hayat El Ghazi, Morocco,Hammer throw,2006,Norandrosterone,2 years,[350],1
12042,Mohamed El Hachimi, Morocco,Long distance,20122014,MethylhexaneamineCERA,6 months6 years,[79][80][34][70],1
12043,Fouad Elkaam (Fouad El Kaam), Morocco,Middle distance,2011,Methylhexaneamine,6 months,[10][351],1
12044,Saïda El Mehdi, Morocco,Middle distance,2009,Stanozolol,2 years,[36][37][352],1
12045,Rkia El Moukim, Morocco,Long distance,2011,Biological passport,2 years,[56][353],1
12046,Najim El Qady, Morocco,Long distance,2011,Biological passport,2 years,[17][88],1
12047,Stanislav Emelyanov, Russia,Race walking,2010,Biological passport,2 years,[13][172][354],1
12048,Alene Emere, Ethiopia,Long distance,2002,Nandrolone,2 years,[355],1
12049,Ivan Emilianov, Moldova,Shot put,2011,"Metenolone, Stanozolol",2 years,[10][79],1
12050,Meryem Erdogan, Turkey,Long distance,2010,Biological passport,2 years,[79],1
12051,Mostafa Errebbah, Italy,Long distance,2004,Stanozolol,2 years,[19][356],1
12052,Wilson Loyanae Erupe, Kenya,Long distance,2012,EPO,2 years,[357],1
12053,Fatih Eryildirim, Turkey,Hammer throw,2013,"Stanozolol, Dehydrochloromethyltestosterone",2 years and 6 months,[358][359],1
12054,Nilay Esen, Turkey,Long distance,2005,Metenolone,2 years,[19][360][361],1
12055,Alisher Eshbekov, Russia,Hammer throw,,Anabolic steroid,,[362],1
12056,Ridouane Es-Saadi, Belgium,Middle/Long distance,20042006,"Trafficking, use, possessionMethandienone",6 months Life ban,[19][363],1
12057,Latifa Essarokh, France,Middle distance,2006,Stanozolol,2 years,[364][365],1
12058,Lee Evans, United States,Coach,2013,,4 years,[366][367][368],1
12059,Davidson Ezinwa, Nigeria,Sprinting,1996 1999,Ephedrine hCG,3 months 2 years,[13][369],1
12060,Osmond Ezinwa, Nigeria,Sprinting,1996,Ephedrine,3 months,[369],1
12061,Hamid Ezzine, Morocco,Steeplechase,2009,"Refusal to submit to doping control, Tampering with test",2 years,[37][370][371],1
12062,Martin Fagan, Ireland,"Marathon, half-marathon",2011,EPO,2 years,[79][372][373],1
12063,Ahmed Faiz, Saudi Arabia,Long jump,2010,Amphetamines,2 years,[32][374],1
12064,Sandra Farmer-Patrick, United States,Hurdling,1996,Testosterone,,[13][375],1
12065,Róbert Fazekas, Hungary,Discus throw,20042012,Failing to provide urine sampleStanozolol,2 years 6 years,[34][73][219],1
12066,Surita Febbraio, South Africa,Hurdling,2005,Testosterone,2 years,[376],1
12067,Agustín Félix, Spain,Decathlon,2011,Drostanolone,2 years,[173],1
12068,Paquillo Fernández, Spain,Race walk,2010,Possession of undisclosed banned substances,2 years,[32][110][377],1
12069,Ricardo Fernández, Spain,Middle/Long distance,20042006,EPOFinasteride,2 years 2 years,[19][378][379],1
12070,Elena Fidatov, Romania,Middle/Long distance,1998,Nandrolone,2 years,[380],1
12071,Nicolas Figère, France,Hammer throw,2007,Cathine,"1 month, public warning",[3][381],1
12072,Konstadinos Filippidis, Greece,Pole vault,2007,Etilephrine,2 years,[382],1
12073,Yuliya Fomenko, Russia,Middle distance,2007,Fraudulent substitution of urine,33 months,[13][37][45][156][238][239],1
12074,Greg Foster, United States,Hurdling,1990,"Pseudoephedrine, Ephedrine, Phenylpropanolamine",6 months,[383],1
12075,Allodin Fothergill, Jamaica,Sprinting,2009,4-Methyl-2-hexanamine,3 months,[37][63],1
12076,Cecilia Francis, Nigeria,Sprinting,2013,Metenolone,1 year,[15][47],1
12077,Shelly-Ann Fraser, Jamaica,Sprinting,2010,Oxycodone,6 months,[32][384],1
12078,Brian Frasure, United States,Sprinting,2000,Nandrolone,4 years,[385],1
12079,Jake Freeman, United States,Hammer throw,20092011,CannabisCannabis,Public warning1 year,[37][386][387],1
12080,Margarita Fuentes-Pila, Spain,Middle distance,2015,,6 months,[88],1
12081,Ruth Fuchs, East Germany,Javelin throw,1970's,Anabolic steroids (self-admitted),—,[388],1
12082,Chryste Gaines, United States,Sprinting,20032005,Modafinil (positive test)THG (investigation: BALCO),Public warning2 years,[98][321],1
12083,Anton Galkin, Russia,Sprinting,2004,Stanozolol,2 years,[19][389],1
12084,Miguel Ángel Gamonal, Spain,Half marathon,20132015,ClenbuterolBiological passport,2 years3 years,[34][47][142][159],1
12085,Alberto García, Spain,"Long distance, cross country",2003,EPO,2 years,[390],1
12086,Sandra Gasser,  Switzerland,Middle distance,1987,Steroids,2 years,[13][391],1
12087,Justin Gatlin, United States,Sprinting,2001  2006,Amphetamine  Testosterone,1 year (Reduced from 2 years)  4 years,[3][392][393][394][395],1
12088,Tyson Gay, United States,Sprinting,2013 2012–2013,Positive test: Exogenous anabolic-androgenic steroid Investigation/Admittance,1 year,[175][396][397],1
12089,Tibor Gécsek, Hungary,Hammer throw,1995,Anabolic steroids,2 years (Reduced from 4 years),[398],1
12090,Ines Geipel, East Germany,Sprinting,1980's,Turinabol (self-admitted),—,[399],1
12091,Shitaye Gemechu, Ethiopia,Long distance,2009,EPO,2 years,[400],1
12092,Ivan Gertlein, Russia,Pole vault,2012,Testosterone,2 years,[76][401],1
12093,Nordine Gezzar, France,Middle/Long distance,20062012,"Finasteride, nandroloneEPO",2 years10 years,[402][403][219],1
12094,Rachid Ghanmouni, Morocco,Long distance,2006,Evading doping control,2 years,[3][36][404],1
12095,Ruqaya Al-Ghasra, Bahrain,Sprinting,2009,Epitestosterone,2 years,[13][32][112],1
12096,Alina Gherasim (Alina Tecuţa), Romania,Long distance,2002,Anabolic steroids,2 years,[405],1
12097,Bouchra Ghezielle, France,Middle distance,2008,EPO,4 years,[3][36][45][406],1
12098,Patricia Girard, France,Sprinting,1990,Primobolan (anabolic steroid),2 years,[407] (in Swedish)[1][408],1
12099,Sandra Glover, United States,Sprinting,2003,Modafinil,Disqualification and public warning,[321],1
12100,Geronimo Goeloe, Netherlands Antilles,Sprinting,2008,Stanozolol,2 years,[3][36][409],1
12101,Thomas Goller, Germany,Hurdling,2010,"Boldenone, SARMs",2 years,[32][410],1
12102,Olga Golovkina, Russia,Long distance,2013,Dehydrochloromethyltestosterone,2 years,[34][207],1
12103,Vanda Gomes, Brazil,Sprinting,2014,Anastrozole,2 years,[69][70][411],1
12104,Yekaterina Gordiyenko, Soviet Union,Pentathlon,1978,Anabolic steroids,18 months,[2][412],1
12105,Agnieszka Gortel-Maciuk, Poland,Marathon/Half marathon,2013,"Testosterone, DHEA",2 years,[100][329],1
12106,Anastasios Gousis, Greece,Sprinting,2008,Methyltrienolone,2 years,[3][36][413],1
12107,Abderrahim Goumri, Morocco,Marathon,2009,Biological passport,4 years,[13][79],1
12108,Eva-Maria Gradwohl, Austria,Long distance,2010,Refusal to submit to doping control,2 years,[32][414],1
12109,Stephanie Graf, Austria,Middle distance,2003,Attempted use of a prohibited method (Humanplasma scandal),2 years,[32][83],1
12110,Trevor Graham, United States,Coach,,"Possession, trafficking, and administration of performance-enhancing drugs, and assisting, encouraging, aiding and abetting anti-doping rule violations",Life ban,[3][415][416],1
12111,Mike Gravelle, United States,Discus throw,1995,Testosterone,,[417],1
12112,Rob Gray, Canada,Discus throw,,Self admittance: Anabolic Steroids,Lost national record,[1][318],1
12113,Bill Green, United States,Hammer throw,1987,Testosterone,2 years,[1][418],1
12114,Yelizaveta Grechishnikova, Russia,Long distance,2009,Biological passport,2 years,[13][113][145],1
12115,Anri Grigorov, Bulgaria,Sprinting,1990,,,[1],1
12116,Lidiya Grigoryeva, Russia,Long distance,2009,Biological passport,2 years and 6 months,[17][88],1
12117,Yekaterina Grigoryeva (Yekaterina Leshcheva), Russia,Sprinting,2001,,2 years,[13],1
12118,Nataliya Grygoryeva, Soviet Union,Hurdling,,,,[24],1
12119,Mickey Grimes, United States,Sprinting,20032004,Ephedrine Norandrosterone,Public warning 2 years,[98][321][419],1
12120,Yelena Gulyayeva, Russia,High jump,1991,,2 years,[420],1
12121,Anna Gurova, Russia,Sprinting,2011,Methyltestosterone,2 years,[79][86],1
12122,Andreas Gustafsson, Sweden,Race walk,2014,EPO,2 years,[34][116][421],1
12123,Abdelhadi Habassa, Morocco,Long distance,2008,Norandrosterone,2 years,[3][36][422],1
12124,Milan Haborák, Slovakia,Shot put,20042010,Hormones  Stanozolol,2 years  Life ban,[32][423][424],1
12125,Abdelkader Hachlaf, Morocco,Middle distance,2004,EPO,2 years,[45][98][425],1
12126,Halima Hachlaf, Morocco,Long-distance,2013,Biological passport,4 years,[30][35],1
12127,Mohamed El Hachimi, Morocco,Long distance,2014,CERA,6 years,[69][70],1
12128,Semoy Hackett, Trinidad and Tobago,Sprinting,20112012,MethylhexaneamineMethylhexaneamine,6 months2 years and 4 months,[13][175][426][427],1
12129,Mohammad Noor Imran Abdul Hadi, Malaysia,Sprinting,2011,Evading doping control,2 years,[13][30][253],1
12130,Vésteinn Hafsteinsson, Iceland,Discus throw,1984,Nandrolone,2 years,[428],1
12131,Linda Haglund, Sweden,Sprinting,1981,Anabolic steroids,18 months,[429],1
12132,Abdellah Haidane, Italy,Middle distance,2014,Tuaminoheptane,4 months,[430][431],1
12133,Fatima Hajjami, France,Long distance,2003,Stanozolol,2 years,[321],1
12134,Fani Halkia, Greece,Hurdling,2008,Methyltrienolone,2 years,[3][432][433][434],1
12135,Hussain Al-Hamdah, Saudi Arabia,Long distance,2009,Biological passport,2 years and 6 months,[13][329][435],1
12136,Tetyana Hamera-Shmyrko, Ukraine,Long distance,2011,Biological passport,4 years,[159][436],1
12137,Tahesia Harrigan-Scott, British Virgin Islands,Sprinting,2011,Methylhexaneamine,6 months,[10][437],1
12138,Alvin Harrison, United States,Sprinting,2004,"BALCO scandal: Anabolic steroids, insulin, HgH, EPO, modafinil",4 years,[98][438],1
12139,Calvin Harrison, United States,Sprinting,19932003,PseudoephedrineModafinil,3 months2 years,[13][321][438],1
12140,Ridouane Harroufi, Morocco,Long distance,2013,EPO,2 years,[30][439],1
12141,Barakat Al-Harthi, Oman,Sprinting,2011,Methylprednisolone,6 months,[40][440],1
12142,Kjell Ove Hauge, Norway,"Discus throw, shot put",1998,Metandienone,18 months,[61] (in Norwegian)[441][442],1
12143,Ahmad Hazer, Lebanon,110 m hurdles,2013,Metenolone,2 years,[30][113],1
12144,Floyd Heard, United States,Sprinting,2000,,Public warning,[89],1
